Timestamp,HedefLinX_m_s,AnlikHiz_m_s,MotorGucu,TurnBoost,StallBoost,HedefAngZ_rad_s,HedefAci_deg,YayinAci_deg,Fren,GeriVites
2026-08-19 19:14:07.494,0.79,0.00,28,0.0,0.0,0.163,-95.7,-1,HAYIR,HAYIR
2026-08-19 19:14:07.554,0.79,0.00,29,0.0,0.1,0.163,-95.8,-2,HAYIR,HAYIR
2026-08-19 19:14:07.614,0.79,0.00,29,0.0,0.2,0.163,-95.8,-4,HAYIR,HAYIR
2026-08-19 19:14:07.674,0.79,0.00,29,0.0,0.3,0.164,-96.0,-6,HAYIR,HAYIR
2026-08-19 19:14:07.734,0.79,0.00,29,0.0,0.3,0.164,-96.2,-7,HAYIR,HAYIR
2026-08-19 19:14:07.794,0.79,0.00,29,0.0,0.4,0.164,-96.2,-9,HAYIR,HAYIR
2026-08-19 19:14:07.854,0.79,0.00,29,0.0,0.5,0.164,-96.1,-11,HAYIR,HAYIR
2026-08-19 19:14:07.914,0.79,0.00,29,0.0,0.6,0.164,-96.2,-12,HAYIR,HAYIR
2026-08-19 19:14:07.974,0.79,0.00,30,0.0,0.6,0.164,-96.2,-14,HAYIR,HAYIR
2026-08-19 19:14:08.034,0.79,0.00,30,0.0,0.7,0.164,-96.3,-16,HAYIR,HAYIR
2026-08-19 19:14:08.094,0.79,0.00,30,0.0,0.8,0.164,-96.4,-17,HAYIR,HAYIR
2026-08-19 19:14:08.154,0.79,0.00,30,0.0,0.9,0.165,-96.6,-19,HAYIR,HAYIR
2026-08-19 19:14:08.214,0.79,0.00,30,0.0,1.0,0.165,-96.6,-21,HAYIR,HAYIR
2026-08-19 19:14:08.274,0.79,0.00,30,0.0,1.0,0.165,-96.6,-22,HAYIR,HAYIR
2026-08-19 19:14:08.334,0.79,0.00,31,0.0,1.1,0.165,-96.8,-24,HAYIR,HAYIR
2026-08-19 19:14:08.394,0.79,0.00,31,0.0,1.2,0.165,-96.9,-26,HAYIR,HAYIR
2026-08-19 19:14:08.454,0.78,0.00,31,0.0,1.3,0.166,-97.0,-27,HAYIR,HAYIR
