Timestamp,HedefLinX_m_s,AnlikHiz_m_s,MotorGucu,TurnBoost,StallBoost,HedefAngZ_rad_s,HedefAci_deg,YayinAci_deg,Fren,GeriVites
2026-08-19 18:08:23.963,0.03,0.00,28,0.0,0.0,0.050,-160.0,-1,HAYIR,HAYIR
2026-08-19 18:08:24.023,0.05,0.00,29,0.0,0.1,0.100,-160.0,-2,HAYIR,HAYIR
2026-08-19 18:08:24.083,0.08,0.00,29,0.0,0.2,0.150,-160.0,-4,HAYIR,HAYIR
2026-08-19 18:08:24.143,0.10,0.00,29,0.0,0.3,0.200,-160.0,-6,HAYIR,HAYIR
2026-08-19 18:08:24.203,0.15,0.00,29,0.0,0.3,0.221,-160.0,-7,HAYIR,HAYIR
2026-08-19 18:08:24.263,0.17,0.00,29,0.0,0.4,0.221,-160.0,-9,HAYIR,HAYIR
2026-08-19 18:08:24.323,0.20,0.00,29,0.0,0.5,0.221,-160.0,-11,HAYIR,HAYIR
2026-08-19 18:08:24.383,0.22,0.00,29,0.0,0.6,0.222,-160.0,-12,HAYIR,HAYIR
2026-08-19 18:08:24.443,0.25,0.00,30,0.0,0.6,0.221,-160.0,-14,HAYIR,HAYIR
2026-08-19 18:08:24.503,0.30,0.00,30,0.0,0.7,0.222,-160.0,-16,HAYIR,HAYIR
2026-08-19 18:08:24.563,0.33,0.00,30,0.0,0.8,0.223,-160.0,-17,HAYIR,HAYIR
2026-08-19 18:08:24.623,0.35,0.00,30,0.0,0.9,0.223,-160.0,-19,HAYIR,HAYIR
2026-08-19 18:08:24.683,0.38,0.00,30,0.0,1.0,0.224,-160.0,-21,HAYIR,HAYIR
2026-08-19 18:08:24.743,0.40,0.00,30,0.0,1.0,0.224,-160.0,-22,HAYIR,HAYIR
2026-08-19 18:08:24.803,0.45,0.00,31,0.0,1.1,0.224,-160.0,-24,HAYIR,HAYIR
2026-08-19 18:08:24.863,0.48,0.00,31,0.0,1.2,0.224,-160.0,-26,HAYIR,HAYIR
2026-08-19 18:08:24.923,0.50,0.00,31,0.0,1.3,0.224,-160.0,-27,HAYIR,HAYIR
2026-08-19 18:08:24.983,0.53,0.00,31,0.0,1.4,0.225,-160.0,-29,HAYIR,HAYIR
2026-08-19 18:08:25.043,0.55,0.00,31,0.0,1.4,0.225,-160.0,-31,HAYIR,HAYIR
2026-08-19 18:08:25.103,0.60,0.00,31,0.0,1.5,0.220,-158.4,-32,HAYIR,HAYIR
2026-08-19 18:08:25.163,0.63,0.00,32,0.0,1.6,0.219,-153.0,-34,HAYIR,HAYIR
2026-08-19 18:08:25.223,0.65,0.00,32,0.0,1.7,0.220,-148.2,-36,HAYIR,HAYIR
2026-08-19 18:08:25.283,0.68,0.00,32,0.0,1.7,0.226,-147.1,-38,HAYIR,HAYIR
2026-08-19 18:08:25.343,0.70,0.00,32,0.0,1.8,0.226,-142.5,-39,HAYIR,HAYIR
2026-08-19 18:08:25.403,0.75,0.00,32,0.0,1.9,0.226,-134.1,-41,HAYIR,HAYIR
2026-08-19 18:08:25.463,0.78,0.00,33,0.0,2.0,0.226,-130.2,-43,HAYIR,HAYIR
2026-08-19 18:08:25.523,0.80,0.00,33,0.1,2.1,0.226,-127.0,-44,HAYIR,HAYIR
2026-08-19 18:08:25.583,0.80,0.00,33,0.1,2.1,0.225,-126.8,-46,HAYIR,HAYIR
2026-08-19 18:08:25.643,0.80,0.00,33,0.1,2.2,0.225,-126.8,-48,HAYIR,HAYIR
2026-08-19 18:08:25.703,0.80,0.00,33,0.2,2.3,0.225,-126.8,-49,HAYIR,HAYIR
2026-08-19 18:08:25.763,0.80,0.01,33,0.2,2.4,0.225,-126.7,-51,HAYIR,HAYIR
