Timestamp,HedefLinX_m_s,AnlikHiz_m_s,MotorGucu,TurnBoost,StallBoost,HedefAngZ_rad_s,HedefAci_deg,YayinAci_deg,Fren,GeriVites
2026-08-16 19:58:34.723,0.66,0.00,28,0.0,0.0,0.320,-128.3,-1,HAYIR,HAYIR
2026-08-16 19:58:34.743,0.66,0.00,28,0.0,0.0,0.320,-128.3,-2,HAYIR,HAYIR
2026-08-16 19:58:34.763,0.69,0.00,29,0.0,0.1,0.320,-124.8,-4,HAYIR,HAYIR
2026-08-16 19:58:34.783,0.69,0.00,29,0.0,0.1,0.320,-124.8,-5,HAYIR,HAYIR
2026-08-16 19:58:34.803,0.69,0.00,29,0.0,0.1,0.320,-124.8,-6,HAYIR,HAYIR
2026-08-16 19:58:34.823,0.71,0.00,29,0.0,0.1,0.320,-121.4,-7,HAYIR,HAYIR
2026-08-16 19:58:34.843,0.71,0.00,29,0.0,0.1,0.320,-121.4,-8,HAYIR,HAYIR
2026-08-16 19:58:34.863,0.74,0.00,29,0.0,0.2,0.320,-118.2,-10,HAYIR,HAYIR
2026-08-16 19:58:34.883,0.74,0.00,29,0.0,0.2,0.320,-118.2,-11,HAYIR,HAYIR
2026-08-16 19:58:34.903,0.74,0.00,29,0.0,0.2,0.320,-118.2,-12,HAYIR,HAYIR
2026-08-16 19:58:34.923,0.76,0.00,29,0.0,0.2,0.320,-115.1,-13,HAYIR,HAYIR
2026-08-16 19:58:34.943,0.76,0.00,29,0.0,0.2,0.320,-115.1,-14,HAYIR,HAYIR
2026-08-16 19:58:34.963,0.78,0.00,29,0.0,0.3,0.320,-113.4,-16,HAYIR,HAYIR
2026-08-16 19:58:34.983,0.78,0.00,29,0.0,0.3,0.320,-113.4,-17,HAYIR,HAYIR
2026-08-16 19:58:35.003,0.78,0.00,29,0.0,0.3,0.320,-113.4,-18,HAYIR,HAYIR
2026-08-16 19:58:35.023,0.78,0.00,29,0.0,0.3,0.320,-112.8,-19,HAYIR,HAYIR
2026-08-16 19:58:35.043,0.78,0.00,29,0.0,0.3,0.320,-112.8,-20,HAYIR,HAYIR
2026-08-16 19:58:35.063,0.78,0.00,29,0.0,0.4,0.320,-113.0,-22,HAYIR,HAYIR
2026-08-16 19:58:35.083,0.78,0.00,29,0.0,0.4,0.320,-113.0,-23,HAYIR,HAYIR
2026-08-16 19:58:35.103,0.78,0.00,30,0.0,0.4,0.320,-113.0,-24,HAYIR,HAYIR
2026-08-16 19:58:35.123,0.79,0.00,30,0.0,0.4,0.320,-112.4,-25,HAYIR,HAYIR
2026-08-16 19:58:35.143,0.79,0.00,30,0.0,0.4,0.320,-112.4,-26,HAYIR,HAYIR
2026-08-16 19:58:35.163,0.78,0.00,30,0.0,0.5,0.320,-112.7,-28,HAYIR,HAYIR
2026-08-16 19:58:35.183,0.78,0.00,30,0.0,0.5,0.320,-112.7,-29,HAYIR,HAYIR
2026-08-16 19:58:35.203,0.78,0.00,30,0.0,0.5,0.320,-112.7,-30,HAYIR,HAYIR
2026-08-16 19:58:35.223,0.79,0.00,30,0.0,0.5,0.320,-112.1,-31,HAYIR,HAYIR
2026-08-16 19:58:35.243,0.79,0.00,30,0.0,0.5,0.320,-112.1,-32,HAYIR,HAYIR
2026-08-16 19:58:35.263,0.79,0.00,30,0.0,0.6,0.320,-112.3,-34,HAYIR,HAYIR
2026-08-16 19:58:35.283,0.79,0.00,30,0.0,0.6,0.320,-112.3,-35,HAYIR,HAYIR
2026-08-16 19:58:35.303,0.79,0.00,30,0.0,0.6,0.320,-112.3,-36,HAYIR,HAYIR
2026-08-16 19:58:35.323,0.79,0.00,30,0.0,0.6,0.320,-111.4,-37,HAYIR,HAYIR
2026-08-16 19:58:35.343,0.79,0.00,30,0.0,0.6,0.320,-111.4,-38,HAYIR,HAYIR
2026-08-16 19:58:35.363,0.79,0.00,30,0.0,0.7,0.320,-111.8,-40,HAYIR,HAYIR
2026-08-16 19:58:35.383,0.79,0.00,30,0.0,0.7,0.320,-111.8,-41,HAYIR,HAYIR
2026-08-16 19:58:35.403,0.79,0.00,31,0.0,0.7,0.320,-111.8,-42,HAYIR,HAYIR
2026-08-16 19:58:35.423,0.78,0.00,31,0.0,0.7,0.320,-112.7,-43,HAYIR,HAYIR
2026-08-16 19:58:35.443,0.78,0.00,31,0.1,0.7,0.320,-112.7,-44,HAYIR,HAYIR
2026-08-16 19:58:35.463,0.79,0.00,31,0.1,0.8,0.320,-111.6,-46,HAYIR,HAYIR
2026-08-16 19:58:35.483,0.79,0.00,31,0.1,0.8,0.320,-111.6,-47,HAYIR,HAYIR
2026-08-16 19:58:35.503,0.79,0.00,31,0.1,0.8,0.320,-111.6,-48,HAYIR,HAYIR
2026-08-16 19:58:35.523,0.79,0.00,31,0.2,0.8,0.320,-112.2,-49,HAYIR,HAYIR
2026-08-16 19:58:35.543,0.79,0.00,31,0.2,0.8,0.320,-112.2,-50,HAYIR,HAYIR
2026-08-16 19:58:35.563,0.80,0.00,31,0.2,0.9,0.320,-111.2,-52,HAYIR,HAYIR
2026-08-16 19:58:35.583,0.80,0.00,31,0.2,0.9,0.320,-111.2,-53,HAYIR,HAYIR
2026-08-16 19:58:35.603,0.80,0.02,31,0.2,0.9,0.320,-111.2,-54,HAYIR,HAYIR
2026-08-16 19:58:35.623,0.80,0.02,31,0.2,0.9,0.320,-110.9,-55,HAYIR,HAYIR
2026-08-16 19:58:35.643,0.80,0.02,31,0.3,0.9,0.320,-110.9,-56,HAYIR,HAYIR
2026-08-16 19:58:35.663,0.80,0.02,32,0.3,1.0,0.320,-110.8,-58,HAYIR,HAYIR
2026-08-16 19:58:35.683,0.80,0.02,32,0.3,1.0,0.320,-110.8,-59,HAYIR,HAYIR
2026-08-16 19:58:35.703,0.80,0.02,32,0.3,1.0,0.320,-110.8,-60,HAYIR,HAYIR
2026-08-16 19:58:35.723,0.80,0.02,32,0.3,1.0,0.311,-108.4,-61,HAYIR,HAYIR
2026-08-16 19:58:35.743,0.80,0.02,32,0.4,1.0,0.311,-108.4,-62,HAYIR,HAYIR
2026-08-16 19:58:35.763,0.80,0.02,32,0.4,1.1,0.312,-108.5,-64,HAYIR,HAYIR
2026-08-16 19:58:35.783,0.80,0.02,32,0.4,1.1,0.312,-108.5,-65,HAYIR,HAYIR
2026-08-16 19:58:35.803,0.80,0.02,32,0.4,1.1,0.312,-108.5,-66,HAYIR,HAYIR
2026-08-16 19:58:35.823,0.80,0.02,32,0.5,1.1,0.312,-108.6,-67,HAYIR,HAYIR
2026-08-16 19:58:35.843,0.80,0.02,32,0.5,1.1,0.312,-108.6,-68,HAYIR,HAYIR
2026-08-16 19:58:35.863,0.80,0.02,32,0.5,1.2,0.312,-108.6,-70,HAYIR,HAYIR
2026-08-16 19:58:35.883,0.80,0.02,33,0.5,1.2,0.312,-108.6,-71,HAYIR,HAYIR
2026-08-16 19:58:35.903,0.80,0.02,33,0.5,1.2,0.312,-108.6,-72,HAYIR,HAYIR
2026-08-16 19:58:35.923,0.80,0.04,32,0.5,1.2,0.312,-108.5,-73,HAYIR,HAYIR
2026-08-16 19:58:35.943,0.80,0.04,33,0.6,1.2,0.312,-108.5,-74,HAYIR,HAYIR
2026-08-16 19:58:35.963,0.80,0.04,33,0.6,1.3,0.312,-108.6,-76,HAYIR,HAYIR
2026-08-16 19:58:35.983,0.80,0.04,33,0.6,1.3,0.312,-108.6,-77,HAYIR,HAYIR
2026-08-16 19:58:36.003,0.80,0.04,33,0.6,1.3,0.312,-108.6,-78,HAYIR,HAYIR
2026-08-16 19:58:36.023,0.80,0.04,33,0.7,1.3,0.312,-108.6,-79,HAYIR,HAYIR
2026-08-16 19:58:36.043,0.80,0.04,33,0.7,1.3,0.312,-108.6,-80,HAYIR,HAYIR
2026-08-16 19:58:36.063,0.80,0.04,33,0.7,1.4,0.313,-108.7,-82,HAYIR,HAYIR
2026-08-16 19:58:36.083,0.80,0.04,33,0.7,1.4,0.313,-108.7,-83,HAYIR,HAYIR
2026-08-16 19:58:36.103,0.80,0.04,33,0.7,1.4,0.313,-108.7,-84,HAYIR,HAYIR
2026-08-16 19:58:36.123,0.80,0.04,34,0.8,1.4,0.313,-108.7,-85,HAYIR,HAYIR
2026-08-16 19:58:36.143,0.80,0.04,34,0.8,1.4,0.313,-108.7,-86,HAYIR,HAYIR
2026-08-16 19:58:36.163,0.80,0.04,34,0.8,1.5,0.313,-108.7,-88,HAYIR,HAYIR
2026-08-16 19:58:36.183,0.80,0.04,34,0.8,1.5,0.313,-108.7,-89,HAYIR,HAYIR
2026-08-16 19:58:36.203,0.80,0.04,34,0.8,1.5,0.313,-108.7,-90,HAYIR,HAYIR
2026-08-16 19:58:36.223,0.80,0.04,34,0.8,1.5,0.314,-109.0,-91,HAYIR,HAYIR
2026-08-16 19:58:36.243,0.80,0.08,33,0.9,1.5,0.314,-109.0,-92,HAYIR,HAYIR
2026-08-16 19:58:36.263,0.80,0.08,34,0.9,1.6,0.314,-109.1,-94,HAYIR,HAYIR
