Timestamp,HedefLinX_m_s,AnlikHiz_m_s,MotorGucu,TurnBoost,StallBoost,HedefAngZ_rad_s,HedefAci_deg,YayinAci_deg,Fren,GeriVites
2026-08-19 17:28:20.310,0.03,0.00,28,0.0,0.0,0.050,-160.0,-1,HAYIR,HAYIR
2026-08-19 17:28:20.369,0.05,0.00,29,0.0,0.1,0.100,-160.0,-2,HAYIR,HAYIR
2026-08-19 17:28:20.429,0.08,0.00,29,0.0,0.2,0.150,-160.0,-4,HAYIR,HAYIR
2026-08-19 17:28:20.489,0.10,0.00,29,0.0,0.3,0.200,-160.0,-6,HAYIR,HAYIR
2026-08-19 17:28:20.549,0.12,0.00,29,0.0,0.3,0.250,-160.0,-7,HAYIR,HAYIR
2026-08-19 17:28:20.609,0.17,0.00,29,0.0,0.4,0.263,-160.0,-9,HAYIR,HAYIR
2026-08-19 17:28:20.669,0.20,0.00,29,0.0,0.5,0.262,-160.0,-11,HAYIR,HAYIR
2026-08-19 17:28:20.729,0.22,0.00,29,0.0,0.6,0.262,-160.0,-12,HAYIR,HAYIR
2026-08-19 17:28:20.789,0.25,0.00,30,0.0,0.7,0.262,-160.0,-14,HAYIR,HAYIR
2026-08-19 17:28:20.849,0.27,0.00,30,0.0,0.7,0.261,-160.0,-16,HAYIR,HAYIR
2026-08-19 17:28:20.909,0.33,0.00,30,0.0,0.8,0.260,-160.0,-17,HAYIR,HAYIR
2026-08-19 17:28:20.969,0.35,0.00,30,0.0,0.9,0.258,-160.0,-19,HAYIR,HAYIR
2026-08-19 17:28:21.029,0.38,0.00,30,0.0,1.0,0.258,-160.0,-21,HAYIR,HAYIR
2026-08-19 17:28:21.089,0.40,0.00,30,0.0,1.0,0.257,-160.0,-22,HAYIR,HAYIR
2026-08-19 17:28:21.149,0.43,0.00,31,0.0,1.1,0.257,-160.0,-24,HAYIR,HAYIR
2026-08-19 17:28:21.209,0.48,0.00,31,0.0,1.2,0.258,-160.0,-26,HAYIR,HAYIR
2026-08-19 17:28:21.269,0.50,0.00,31,0.0,1.3,0.259,-160.0,-27,HAYIR,HAYIR
2026-08-19 17:28:21.329,0.53,0.00,31,0.0,1.4,0.259,-160.0,-29,HAYIR,HAYIR
2026-08-19 17:28:21.389,0.55,0.00,31,0.0,1.4,0.259,-160.0,-31,HAYIR,HAYIR
2026-08-19 17:28:21.449,0.58,0.00,31,0.0,1.5,0.259,-160.0,-32,HAYIR,HAYIR
2026-08-19 17:28:21.509,0.63,0.00,32,0.0,1.6,0.260,-160.0,-34,HAYIR,HAYIR
2026-08-19 17:28:21.569,0.65,0.00,32,0.0,1.7,0.260,-160.0,-36,HAYIR,HAYIR
2026-08-19 17:28:21.629,0.68,0.00,32,0.0,1.7,0.261,-160.0,-38,HAYIR,HAYIR
2026-08-19 17:28:21.689,0.70,0.00,32,0.0,1.8,0.261,-160.0,-39,HAYIR,HAYIR
2026-08-19 17:28:21.749,0.73,0.00,32,0.0,1.9,0.260,-155.9,-41,HAYIR,HAYIR
2026-08-19 17:28:21.809,0.75,0.00,33,0.0,2.0,0.260,-151.2,-43,HAYIR,HAYIR
2026-08-19 17:28:21.869,0.75,0.00,33,0.1,2.1,0.260,-151.2,-44,HAYIR,HAYIR
2026-08-19 17:28:21.929,0.75,0.00,33,0.1,2.1,0.260,-151.3,-46,HAYIR,HAYIR
2026-08-19 17:28:21.989,0.75,0.00,33,0.1,2.2,0.260,-151.5,-48,HAYIR,HAYIR
2026-08-19 17:28:22.049,0.75,0.00,33,0.2,2.3,0.260,-151.3,-49,HAYIR,HAYIR
2026-08-19 17:28:22.109,0.75,0.00,33,0.2,2.4,0.260,-151.3,-51,HAYIR,HAYIR
2026-08-19 17:28:22.169,0.75,0.00,33,0.2,2.4,0.260,-151.2,-53,HAYIR,HAYIR
2026-08-19 17:28:22.229,0.75,0.00,34,0.2,2.5,0.260,-151.5,-54,HAYIR,HAYIR
2026-08-19 17:28:22.289,0.75,0.00,34,0.3,2.6,0.261,-151.8,-56,HAYIR,HAYIR
2026-08-19 17:28:22.349,0.75,0.00,34,0.3,2.7,0.261,-152.0,-58,HAYIR,HAYIR
2026-08-19 17:28:22.409,0.75,0.01,34,0.3,2.8,0.262,-152.2,-59,HAYIR,HAYIR
2026-08-19 17:28:22.469,0.75,0.01,34,0.3,2.8,0.262,-152.4,-61,HAYIR,HAYIR
2026-08-19 17:28:22.529,0.75,0.01,34,0.4,2.9,0.262,-152.4,-63,HAYIR,HAYIR
2026-08-19 17:28:22.589,0.75,0.01,35,0.4,3.0,0.263,-152.7,-64,HAYIR,HAYIR
2026-08-19 17:28:22.649,0.75,0.01,35,0.4,3.1,0.217,-129.2,-66,HAYIR,HAYIR
2026-08-19 17:28:22.709,0.75,0.04,35,0.5,3.1,0.217,-129.4,-68,HAYIR,HAYIR
2026-08-19 17:28:22.769,0.75,0.04,35,0.5,3.2,0.218,-130.2,-69,HAYIR,HAYIR
2026-08-19 17:28:22.829,0.75,0.04,35,0.5,3.3,0.218,-130.2,-71,HAYIR,HAYIR
2026-08-19 17:28:22.889,0.75,0.04,35,0.5,3.4,0.219,-130.5,-73,HAYIR,HAYIR
2026-08-19 17:28:22.949,0.75,0.04,35,0.6,3.5,0.219,-130.3,-74,HAYIR,HAYIR
2026-08-19 17:28:23.009,0.75,0.04,36,0.6,3.5,0.218,-130.0,-76,HAYIR,HAYIR
2026-08-19 17:28:23.069,0.75,0.09,30,0.6,0.0,0.218,-130.1,-78,HAYIR,HAYIR
2026-08-19 17:28:23.129,0.75,0.09,32,0.7,0.0,0.217,-129.5,-80,HAYIR,HAYIR
2026-08-19 17:28:23.189,0.75,0.09,32,0.7,0.0,0.220,-130.8,-81,HAYIR,HAYIR
2026-08-19 17:28:23.249,0.75,0.09,32,0.7,0.0,0.216,-128.9,-83,HAYIR,HAYIR
2026-08-19 17:28:23.309,0.75,0.09,32,0.8,0.0,0.215,-128.5,-85,HAYIR,HAYIR
2026-08-19 17:28:23.369,0.75,0.09,33,0.8,0.0,0.216,-128.8,-86,HAYIR,HAYIR
2026-08-19 17:28:23.429,0.75,0.16,32,0.8,0.0,0.214,-127.8,-88,HAYIR,HAYIR
2026-08-19 17:28:23.489,0.75,0.16,33,0.8,0.0,0.216,-129.0,-90,HAYIR,HAYIR
2026-08-19 17:28:23.549,0.75,0.16,33,0.8,0.0,0.212,-126.9,-91,HAYIR,HAYIR
2026-08-19 17:28:23.609,0.75,0.16,33,0.9,0.0,0.210,-125.7,-93,HAYIR,HAYIR
2026-08-19 17:28:23.669,0.75,0.16,33,0.9,0.0,0.209,-125.2,-95,HAYIR,HAYIR
2026-08-19 17:28:23.729,0.75,0.24,33,0.9,0.0,0.231,-136.8,-96,HAYIR,HAYIR
2026-08-19 17:28:23.789,0.75,0.24,33,1.0,0.0,0.230,-136.0,-98,HAYIR,HAYIR
2026-08-19 17:28:23.849,0.75,0.24,33,1.0,0.0,0.228,-135.4,-100,HAYIR,HAYIR
2026-08-19 17:28:23.909,0.75,0.24,33,1.0,0.0,0.226,-134.2,-101,HAYIR,HAYIR
2026-08-19 17:28:23.969,0.75,0.24,33,1.1,0.0,0.226,-133.9,-103,HAYIR,HAYIR
2026-08-19 17:28:24.029,0.75,0.32,30,1.1,0.0,0.224,-132.9,-105,HAYIR,HAYIR
2026-08-19 17:28:24.089,0.75,0.32,33,1.1,0.0,0.222,-131.9,-106,HAYIR,HAYIR
2026-08-19 17:28:24.149,0.75,0.32,33,1.1,0.0,0.220,-130.9,-108,HAYIR,HAYIR
2026-08-19 17:28:24.209,0.75,0.32,33,1.2,0.0,0.218,-129.9,-110,HAYIR,HAYIR
2026-08-19 17:28:24.269,0.75,0.32,33,1.2,0.0,0.218,-130.0,-111,HAYIR,HAYIR
2026-08-19 17:28:24.329,0.75,0.32,33,1.2,0.0,0.215,-128.5,-113,HAYIR,HAYIR
2026-08-19 17:28:24.389,0.75,0.37,33,1.2,0.0,0.213,-127.4,-115,HAYIR,HAYIR
2026-08-19 17:28:24.449,0.75,0.37,33,1.3,0.0,0.207,-123.8,-116,HAYIR,HAYIR
2026-08-19 17:28:24.509,0.75,0.37,33,1.3,0.0,0.195,-117.4,-117,HAYIR,HAYIR
2026-08-19 17:28:24.569,0.75,0.37,33,1.3,0.0,0.192,-115.9,-117,HAYIR,HAYIR
2026-08-19 17:28:24.629,0.75,0.37,33,1.2,0.0,0.185,-112.1,-115,HAYIR,HAYIR
2026-08-19 17:28:24.689,0.75,0.37,33,1.2,0.0,0.180,-109.5,-113,HAYIR,HAYIR
2026-08-19 17:28:24.749,0.75,0.42,33,1.2,0.0,0.173,-105.3,-112,HAYIR,HAYIR
2026-08-19 17:28:24.809,0.75,0.42,33,1.2,0.0,0.130,-80.8,-110,HAYIR,HAYIR
2026-08-19 17:28:24.869,0.75,0.42,33,1.1,0.0,0.126,-78.5,-108,HAYIR,HAYIR
2026-08-19 17:28:24.929,0.75,0.42,33,1.1,0.0,0.120,-74.7,-107,HAYIR,HAYIR
2026-08-19 17:28:24.989,0.75,0.42,33,1.1,0.0,0.116,-72.1,-105,HAYIR,HAYIR
2026-08-19 17:28:25.049,0.75,0.42,33,1.1,0.0,0.109,-68.0,-103,HAYIR,HAYIR
2026-08-19 17:28:25.109,0.75,0.45,33,1.0,0.0,0.099,-61.7,-102,HAYIR,HAYIR
2026-08-19 17:28:25.169,0.75,0.45,33,1.0,0.0,0.095,-59.6,-100,HAYIR,HAYIR
2026-08-19 17:28:25.229,0.75,0.45,33,1.0,0.0,0.090,-56.6,-98,HAYIR,HAYIR
2026-08-19 17:28:25.289,0.75,0.45,33,0.9,0.0,0.086,-54.0,-97,HAYIR,HAYIR
2026-08-19 17:28:25.349,0.75,0.45,33,0.9,0.0,0.080,-50.5,-95,HAYIR,HAYIR
2026-08-19 17:28:25.409,0.75,0.49,33,0.9,0.0,0.071,-44.9,-93,HAYIR,HAYIR
2026-08-19 17:28:25.469,0.75,0.49,33,0.9,0.0,0.069,-43.3,-92,HAYIR,HAYIR
2026-08-19 17:28:25.529,0.75,0.49,33,0.8,0.0,0.064,-40.5,-90,HAYIR,HAYIR
2026-08-19 17:28:25.589,0.75,0.49,33,0.8,0.0,0.061,-38.6,-88,HAYIR,HAYIR
2026-08-19 17:28:25.649,0.75,0.49,33,0.8,0.0,0.056,-35.6,-87,HAYIR,HAYIR
2026-08-19 17:28:25.709,0.75,0.49,33,0.8,0.0,0.050,-31.5,-85,HAYIR,HAYIR
2026-08-19 17:28:25.769,0.75,0.53,33,0.7,0.0,0.047,-30.0,-83,HAYIR,HAYIR
