Timestamp,HedefLinX_m_s,AnlikHiz_m_s,MotorGucu,TurnBoost,StallBoost,HedefAngZ_rad_s,HedefAci_deg,YayinAci_deg,Fren,GeriVites
2026-08-19 19:11:41.181,0.57,0.00,28,0.0,0.0,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:41.240,0.55,0.00,29,0.0,0.1,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:41.300,0.52,0.00,29,0.0,0.2,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:41.360,0.50,0.00,29,0.0,0.3,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:41.420,0.45,0.00,29,0.0,0.3,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:41.480,0.42,0.00,29,0.0,0.4,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:41.540,0.40,0.00,29,0.0,0.5,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:41.600,0.37,0.00,29,0.0,0.6,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:41.661,0.35,0.00,30,0.0,0.7,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:41.721,0.30,0.00,30,0.0,0.7,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:41.780,0.27,0.00,30,0.0,0.8,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:41.840,0.25,0.00,29,0.0,0.9,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:41.900,0.22,0.00,29,0.0,1.0,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:41.960,0.20,0.00,30,0.0,1.0,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:42.020,0.15,0.00,29,0.0,1.1,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:42.080,0.12,0.00,29,0.0,1.2,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:42.140,0.10,0.00,29,0.0,1.3,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:42.200,0.07,0.00,29,0.0,1.4,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:42.260,0.05,0.00,30,0.0,1.4,0.000,-0.0,0,HAYIR,HAYIR
2026-08-19 19:11:42.321,0.00,0.00,0,0.0,0.0,0.000,0.0,0,HAYIR,HAYIR
2026-08-19 19:11:42.380,0.00,0.00,0,0.0,0.0,0.000,0.0,0,HAYIR,HAYIR
2026-08-19 19:11:42.440,0.00,0.00,0,0.0,0.0,0.000,0.0,0,HAYIR,HAYIR
2026-08-19 19:11:42.500,0.00,0.00,0,0.0,0.0,0.000,0.0,0,HAYIR,HAYIR
2026-08-19 19:11:42.561,0.00,0.00,0,0.0,0.0,0.000,0.0,0,HAYIR,HAYIR
2026-08-19 19:12:12.321,0.03,0.00,28,0.0,0.0,-0.050,160.0,1,HAYIR,HAYIR
2026-08-19 19:12:12.380,0.05,0.00,29,0.0,0.1,-0.100,160.0,2,HAYIR,HAYIR
2026-08-19 19:12:12.440,0.08,0.00,29,0.0,0.2,-0.150,160.0,4,HAYIR,HAYIR
2026-08-19 19:12:12.501,0.10,0.00,29,0.0,0.3,-0.200,160.0,6,HAYIR,HAYIR
2026-08-19 19:12:12.561,0.12,0.00,29,0.0,0.3,-0.250,160.0,7,HAYIR,HAYIR
2026-08-19 19:12:12.620,0.17,0.00,29,0.0,0.4,-0.271,160.0,9,HAYIR,HAYIR
2026-08-19 19:12:12.681,0.20,0.00,29,0.0,0.5,-0.271,160.0,11,HAYIR,HAYIR
2026-08-19 19:12:12.740,0.22,0.00,29,0.0,0.6,-0.271,160.0,12,HAYIR,HAYIR
2026-08-19 19:12:12.800,0.25,0.00,30,0.0,0.6,-0.271,160.0,14,HAYIR,HAYIR
2026-08-19 19:12:12.860,0.27,0.00,30,0.0,0.7,-0.271,160.0,16,HAYIR,HAYIR
2026-08-19 19:12:12.920,0.33,0.00,30,0.0,0.8,-0.272,160.0,17,HAYIR,HAYIR
2026-08-19 19:12:12.980,0.35,0.00,30,0.0,0.9,-0.272,160.0,19,HAYIR,HAYIR
2026-08-19 19:12:13.040,0.38,0.00,30,0.0,1.0,-0.272,160.0,21,HAYIR,HAYIR
2026-08-19 19:12:13.101,0.40,0.00,30,0.0,1.0,-0.272,160.0,22,HAYIR,HAYIR
2026-08-19 19:12:13.160,0.43,0.00,31,0.0,1.1,-0.272,160.0,24,HAYIR,HAYIR
2026-08-19 19:12:13.220,0.48,0.00,31,0.0,1.2,-0.272,160.0,26,HAYIR,HAYIR
2026-08-19 19:12:13.281,0.50,0.00,31,0.0,1.3,-0.273,160.0,27,HAYIR,HAYIR
2026-08-19 19:12:13.340,0.53,0.00,31,0.0,1.4,-0.273,160.0,29,HAYIR,HAYIR
2026-08-19 19:12:13.401,0.55,0.00,31,0.0,1.4,-0.273,160.0,31,HAYIR,HAYIR
2026-08-19 19:12:13.460,0.58,0.00,31,0.0,1.5,-0.273,160.0,32,HAYIR,HAYIR
2026-08-19 19:12:13.520,0.63,0.00,32,0.0,1.6,-0.273,160.0,34,HAYIR,HAYIR
2026-08-19 19:12:13.580,0.65,0.00,32,0.0,1.7,-0.273,160.0,36,HAYIR,HAYIR
2026-08-19 19:12:13.640,0.68,0.00,32,0.0,1.7,-0.274,160.0,38,HAYIR,HAYIR
2026-08-19 19:12:13.700,0.70,0.00,32,0.0,1.8,-0.274,160.0,39,HAYIR,HAYIR
2026-08-19 19:12:13.760,0.73,0.00,32,0.0,1.9,-0.274,160.0,41,HAYIR,HAYIR
2026-08-19 19:12:13.820,0.75,0.00,32,0.0,2.0,-0.274,158.3,43,HAYIR,HAYIR
2026-08-19 19:12:13.881,0.78,0.01,32,0.0,2.1,-0.274,153.0,44,HAYIR,HAYIR
2026-08-19 19:12:13.940,0.78,0.01,33,0.0,2.1,-0.274,153.0,46,HAYIR,HAYIR
2026-08-19 19:12:14.000,0.78,0.01,33,0.0,2.2,-0.275,153.3,48,HAYIR,HAYIR
2026-08-19 19:12:14.060,0.78,0.01,33,0.0,2.3,-0.275,153.4,49,HAYIR,HAYIR
2026-08-19 19:12:14.120,0.78,0.01,33,0.0,2.4,-0.276,153.9,51,HAYIR,HAYIR
2026-08-19 19:12:14.180,0.78,0.01,33,0.1,2.4,-0.276,154.2,53,HAYIR,HAYIR
2026-08-19 19:12:14.240,0.78,0.03,33,0.1,2.5,-0.276,154.2,54,HAYIR,HAYIR
2026-08-19 19:12:14.300,0.78,0.03,33,0.1,2.6,-0.277,154.7,56,HAYIR,HAYIR
2026-08-19 19:12:14.360,0.78,0.03,34,0.1,2.7,-0.278,154.9,58,HAYIR,HAYIR
2026-08-19 19:12:14.420,0.78,0.03,34,0.1,2.8,-0.279,155.5,59,HAYIR,HAYIR
2026-08-19 19:12:14.480,0.78,0.03,34,0.1,2.8,-0.279,156.1,61,HAYIR,HAYIR
2026-08-19 19:12:14.540,0.78,0.05,34,0.1,2.9,-0.279,156.1,63,HAYIR,HAYIR
2026-08-19 19:12:14.601,0.80,0.05,35,0.1,3.0,-0.288,157.0,64,HAYIR,HAYIR
2026-08-19 19:12:14.660,0.80,0.05,34,0.1,3.1,-0.288,156.8,66,HAYIR,HAYIR
2026-08-19 19:12:14.720,0.79,0.05,35,0.1,3.1,-0.289,157.7,68,HAYIR,HAYIR
2026-08-19 19:12:14.780,0.79,0.05,35,0.1,3.2,-0.290,158.3,69,HAYIR,HAYIR
2026-08-19 19:12:14.840,0.79,0.10,29,0.1,0.0,-0.289,158.1,71,HAYIR,HAYIR
2026-08-19 19:12:14.900,0.79,0.10,31,0.1,0.0,-0.291,159.2,73,HAYIR,HAYIR
2026-08-19 19:12:14.960,0.79,0.10,32,0.1,0.0,-0.291,159.0,74,HAYIR,HAYIR
2026-08-19 19:12:15.020,0.79,0.10,32,0.1,0.0,-0.292,159.9,76,HAYIR,HAYIR
2026-08-19 19:12:15.080,0.78,0.10,31,0.2,0.0,-0.291,160.0,78,HAYIR,HAYIR
2026-08-19 19:12:15.141,0.78,0.10,32,0.2,0.0,-0.291,160.0,80,HAYIR,HAYIR
2026-08-19 19:12:15.200,0.77,0.10,32,0.2,0.0,-0.290,160.0,81,HAYIR,HAYIR
2026-08-19 19:12:15.260,0.77,0.16,32,0.2,0.0,-0.289,160.0,83,HAYIR,HAYIR
2026-08-19 19:12:15.320,0.76,0.16,32,0.2,0.0,-0.288,160.0,85,HAYIR,HAYIR
2026-08-19 19:12:15.380,0.77,0.16,32,0.2,0.0,-0.295,160.0,86,HAYIR,HAYIR
2026-08-19 19:12:15.440,0.77,0.16,32,0.2,0.0,-0.294,160.0,88,HAYIR,HAYIR
2026-08-19 19:12:15.500,0.76,0.16,32,0.2,0.0,-0.293,160.0,90,HAYIR,HAYIR
2026-08-19 19:12:15.560,0.76,0.25,32,0.2,0.0,-0.292,160.0,91,HAYIR,HAYIR
