Timestamp,HedefLinX_m_s,AnlikHiz_m_s,MotorGucu,TurnBoost,StallBoost,HedefAngZ_rad_s,HedefAci_deg,YayinAci_deg,Fren,GeriVites
2026-08-19 17:27:52.004,0.74,0.00,28,0.0,0.0,0.278,-160.0,-1,HAYIR,HAYIR
2026-08-19 17:27:52.063,0.73,0.00,29,0.0,0.1,0.278,-160.0,-2,HAYIR,HAYIR
2026-08-19 17:27:52.123,0.73,0.00,29,0.0,0.2,0.278,-160.0,-4,HAYIR,HAYIR
2026-08-19 17:27:52.183,0.73,0.00,29,0.0,0.3,0.278,-160.0,-6,HAYIR,HAYIR
2026-08-19 17:27:52.244,0.73,0.00,29,0.0,0.3,0.278,-160.0,-7,HAYIR,HAYIR
2026-08-19 17:27:52.304,0.73,0.00,29,0.0,0.4,0.278,-160.0,-9,HAYIR,HAYIR
2026-08-19 17:27:52.363,0.73,0.00,29,0.0,0.5,0.278,-160.0,-11,HAYIR,HAYIR
2026-08-19 17:27:52.423,0.73,0.00,29,0.0,0.6,0.278,-160.0,-12,HAYIR,HAYIR
2026-08-19 17:27:52.484,0.73,0.00,30,0.0,0.7,0.278,-160.0,-14,HAYIR,HAYIR
2026-08-19 17:27:52.544,0.73,0.00,30,0.0,0.7,0.278,-160.0,-16,HAYIR,HAYIR
2026-08-19 17:27:52.604,0.73,0.00,30,0.0,0.8,0.278,-160.0,-17,HAYIR,HAYIR
2026-08-19 17:27:52.663,0.73,0.00,30,0.0,0.9,0.278,-160.0,-19,HAYIR,HAYIR
2026-08-19 17:27:52.723,0.73,0.00,30,0.0,1.0,0.278,-160.0,-21,HAYIR,HAYIR
2026-08-19 17:27:52.784,0.73,0.00,30,0.0,1.0,0.278,-160.0,-22,HAYIR,HAYIR
2026-08-19 17:27:52.844,0.73,0.00,31,0.0,1.1,0.278,-160.0,-24,HAYIR,HAYIR
2026-08-19 17:27:52.904,0.73,0.00,31,0.0,1.2,0.278,-160.0,-26,HAYIR,HAYIR
2026-08-19 17:27:52.963,0.73,0.00,31,0.0,1.3,0.278,-160.0,-27,HAYIR,HAYIR
2026-08-19 17:27:53.023,0.73,0.00,31,0.0,1.4,0.278,-160.0,-29,HAYIR,HAYIR
2026-08-19 17:27:53.084,0.72,0.00,31,0.0,1.4,0.278,-160.0,-31,HAYIR,HAYIR
2026-08-19 17:27:53.144,0.72,0.00,31,0.0,1.5,0.278,-160.0,-32,HAYIR,HAYIR
2026-08-19 17:27:53.203,0.72,0.00,32,0.0,1.6,0.278,-160.0,-34,HAYIR,HAYIR
2026-08-19 17:27:53.264,0.71,0.00,32,0.0,1.7,0.278,-160.0,-36,HAYIR,HAYIR
2026-08-19 17:27:53.324,0.71,0.00,32,0.0,1.7,0.278,-160.0,-38,HAYIR,HAYIR
2026-08-19 17:27:53.383,0.71,0.01,32,0.0,1.8,0.278,-160.0,-39,HAYIR,HAYIR
2026-08-19 17:27:53.444,0.71,0.01,32,0.0,1.9,0.278,-160.0,-41,HAYIR,HAYIR
2026-08-19 17:27:53.503,0.71,0.01,33,0.0,2.0,0.278,-160.0,-43,HAYIR,HAYIR
2026-08-19 17:27:53.563,0.70,0.01,32,0.1,2.1,0.278,-160.0,-44,HAYIR,HAYIR
2026-08-19 17:27:53.623,0.70,0.01,32,0.1,2.1,0.278,-160.0,-46,HAYIR,HAYIR
2026-08-19 17:27:53.683,0.69,0.01,33,0.1,2.2,0.278,-160.0,-48,HAYIR,HAYIR
2026-08-19 17:27:53.744,0.69,0.04,33,0.2,2.3,0.278,-160.0,-49,HAYIR,HAYIR
2026-08-19 17:27:53.803,0.69,0.04,33,0.2,2.4,0.278,-160.0,-51,HAYIR,HAYIR
2026-08-19 17:27:53.863,0.69,0.04,33,0.2,2.4,0.278,-160.0,-53,HAYIR,HAYIR
2026-08-19 17:27:53.924,0.69,0.04,33,0.2,2.5,0.278,-160.0,-54,HAYIR,HAYIR
2026-08-19 17:27:53.984,0.66,0.04,33,0.3,2.6,0.278,-160.0,-56,HAYIR,HAYIR
2026-08-19 17:27:54.044,0.65,0.06,32,0.3,2.7,0.278,-160.0,-58,HAYIR,HAYIR
2026-08-19 17:27:54.103,0.65,0.06,34,0.3,2.8,0.278,-160.0,-59,HAYIR,HAYIR
2026-08-19 17:27:54.163,0.64,0.06,34,0.3,2.8,0.278,-160.0,-61,HAYIR,HAYIR
2026-08-19 17:27:54.223,0.64,0.06,34,0.4,2.9,0.278,-160.0,-63,HAYIR,HAYIR
2026-08-19 17:27:54.283,0.64,0.06,34,0.4,3.0,0.278,-160.0,-64,HAYIR,HAYIR
2026-08-19 17:27:54.343,0.64,0.06,34,0.4,3.1,0.278,-160.0,-66,HAYIR,HAYIR
2026-08-19 17:27:54.403,0.64,0.09,31,0.5,0.0,0.278,-160.0,-68,HAYIR,HAYIR
2026-08-19 17:27:54.463,0.64,0.09,31,0.5,0.0,0.278,-160.0,-69,HAYIR,HAYIR
2026-08-19 17:27:54.523,0.63,0.09,31,0.5,0.0,0.278,-160.0,-71,HAYIR,HAYIR
2026-08-19 17:27:54.584,0.63,0.09,31,0.5,0.0,0.278,-160.0,-73,HAYIR,HAYIR
2026-08-19 17:27:54.644,0.63,0.09,31,0.6,0.0,0.278,-160.0,-74,HAYIR,HAYIR
2026-08-19 17:27:54.704,0.63,0.14,31,0.6,0.0,0.278,-160.0,-76,HAYIR,HAYIR
2026-08-19 17:27:54.764,0.63,0.14,31,0.6,0.0,0.278,-160.0,-78,HAYIR,HAYIR
2026-08-19 17:27:54.823,0.63,0.14,32,0.7,0.0,0.278,-160.0,-80,HAYIR,HAYIR
2026-08-19 17:27:54.883,0.62,0.14,32,0.7,0.0,0.278,-160.0,-81,HAYIR,HAYIR
2026-08-19 17:27:54.944,0.62,0.14,32,0.7,0.0,0.278,-160.0,-83,HAYIR,HAYIR
2026-08-19 17:27:55.003,0.62,0.20,29,0.8,0.0,0.278,-160.0,-85,HAYIR,HAYIR
2026-08-19 17:27:55.063,0.61,0.20,31,0.8,0.0,0.278,-160.0,-86,HAYIR,HAYIR
2026-08-19 17:27:55.123,0.62,0.20,32,0.8,0.0,0.278,-160.0,-88,HAYIR,HAYIR
2026-08-19 17:27:55.184,0.65,0.20,32,0.8,0.0,0.228,-153.8,-90,HAYIR,HAYIR
2026-08-19 17:27:55.244,0.67,0.20,32,0.8,0.0,0.178,-119.8,-91,HAYIR,HAYIR
2026-08-19 17:27:55.303,0.70,0.20,32,0.8,0.0,0.128,-85.2,-90,HAYIR,HAYIR
2026-08-19 17:27:55.364,0.67,0.20,31,0.8,0.0,0.000,-0.0,-88,HAYIR,HAYIR
2026-08-19 17:27:55.424,0.66,0.25,32,0.8,0.0,0.000,-0.0,-86,HAYIR,HAYIR
2026-08-19 17:27:55.483,0.63,0.25,32,0.8,0.0,-0.072,53.7,-85,HAYIR,HAYIR
2026-08-19 17:27:55.543,0.63,0.25,32,0.7,0.0,-0.122,89.9,-83,HAYIR,HAYIR
2026-08-19 17:27:55.603,0.61,0.25,32,0.7,0.0,-0.172,126.1,-81,HAYIR,HAYIR
2026-08-19 17:27:55.663,0.59,0.25,31,0.7,0.0,-0.272,160.0,-80,HAYIR,HAYIR
2026-08-19 17:27:55.723,0.58,0.28,30,0.6,0.0,-0.278,160.0,-78,HAYIR,HAYIR
2026-08-19 17:27:55.784,0.57,0.28,32,0.6,0.0,-0.278,160.0,-76,HAYIR,HAYIR
2026-08-19 17:27:55.844,0.56,0.28,32,0.6,0.0,-0.278,160.0,-74,HAYIR,HAYIR
2026-08-19 17:27:55.903,0.55,0.28,32,0.5,0.0,-0.278,160.0,-73,HAYIR,HAYIR
2026-08-19 17:27:55.963,0.54,0.28,31,0.5,0.0,-0.278,160.0,-71,HAYIR,HAYIR
2026-08-19 17:27:56.023,0.54,0.28,31,0.5,0.0,-0.278,160.0,-69,HAYIR,HAYIR
2026-08-19 17:27:56.083,0.53,0.26,32,0.5,0.0,-0.278,160.0,-68,HAYIR,HAYIR
2026-08-19 17:27:56.144,0.53,0.26,32,0.4,0.0,-0.278,160.0,-66,HAYIR,HAYIR
2026-08-19 17:27:56.204,0.52,0.26,32,0.4,0.0,-0.278,160.0,-64,HAYIR,HAYIR
