(40.790252685546875, 29.5087947845459),
(40.790252685546875, 29.5087947845459),
(40.790252685546875, 29.50879669189453),
(40.790252685546875, 29.50879669189453),
(40.790252685546875, 29.50879669189453),
(40.790252685546875, 29.50879669189453),
(40.790252685546875, 29.508798599243164),
(40.790252685546875, 29.508798599243164),
(40.790252685546875, 29.508798599243164),
(40.790252685546875, 29.508798599243164),
(40.790252685546875, 29.508800506591797),
(40.790252685546875, 29.508800506591797),
(40.790252685546875, 29.508800506591797),
(40.790252685546875, 29.508800506591797),
(40.790252685546875, 29.508798599243164),
(40.79024887084961, 29.508798599243164),
(40.79024887084961, 29.508798599243164),
(40.790252685546875, 29.508798599243164),
(40.79024887084961, 29.508798599243164),
(40.79024887084961, 29.508798599243164),
(40.79024887084961, 29.508798599243164),
(40.79024887084961, 29.508798599243164),
(40.79024887084961, 29.508800506591797),
(40.79024887084961, 29.508800506591797),
(40.79024887084961, 29.508800506591797),
(40.79024887084961, 29.50880241394043),
(40.79024887084961, 29.50880241394043),
(40.79024887084961, 29.50880241394043),
(40.79024887084961, 29.50880241394043),
(40.79024887084961, 29.50880241394043),
(40.79024887084961, 29.508804321289062),
(40.79024887084961, 29.508804321289062),
(40.79024887084961, 29.508804321289062),
(40.79024887084961, 29.508804321289062),
(40.79024887084961, 29.508804321289062),
(40.79024887084961, 29.508804321289062),
(40.79024887084961, 29.508806228637695),
(40.79024887084961, 29.508806228637695),
(40.79024887084961, 29.508806228637695),
(40.79024887084961, 29.508804321289062),
(40.790245056152344, 29.508804321289062),
(40.790245056152344, 29.508804321289062),
(40.790245056152344, 29.508804321289062),
(40.790245056152344, 29.508804321289062),
(40.79024887084961, 29.508804321289062),
(40.79024887084961, 29.508804321289062),
(40.79024887084961, 29.508804321289062),
(40.790245056152344, 29.508804321289062),
(40.79024887084961, 29.508804321289062),
(40.79024887084961, 29.508804321289062),
(40.79024887084961, 29.508804321289062),
(40.79024887084961, 29.50880241394043),
